id,TARGET
EK202310003556,128.208984375
EK202310170625,158.22265625
EK202310167359,155.212890625
EK202310118370,130.3134765625
EK202320006361,142.9208984375
EK202310003542,133.595703125
EK202310125266,143.0322265625
EK202310144740,125.6376953125
EK202310137443,143.0615234375
EK202310159067,166.4423828125
EK202310245067,120.392578125
EK202310240556,132.623046875
EK202310166743,130.115234375
EK202310247454,129.3525390625
EK202310215702,146.84765625
EK202310142190,163.689453125
EK202310205417,133.52734375
EK202310119601,131.8408203125
EK202310190356,132.2861328125
EK202310158758,141.8828125
EK202310145496,124.40234375
EK202310164763,151.720703125
EK202310200188,133.55859375
EK202310238803,162.064453125
EK202320005607,180.8828125
EK202310225681,148.7275390625
EK202310127174,132.5166015625
EK202310204317,162.4384765625
EK202310179355,130.7431640625
EK202310176524,151.7431640625
EK202310237228,124.8759765625
EK202310172549,157.8427734375
EK202310168863,131.3193359375
EK202310185904,157.7294921875
EK202310133615,169.03515625
EK202310122063,132.6806640625
EK202310121770,144.3916015625
EK202310125590,129.6181640625
EK202310172269,132.462890625
EK202310147894,141.7451171875
EK202310137986,132.4326171875
EK202310150838,135.9345703125
EK202310104915,127.79296875
EK202310170090,131.1142578125
EK202310165637,137.9306640625
EK202310134467,135.7685546875
EK202310182637,157.7998046875
EK202310112116,150.74609375
EK202310241220,156.349609375
EK202310103801,148.45703125
EK202310177448,128.4521484375
EK202310157860,181.1083984375
EK202310211985,137.1162109375
EK202310232907,130.5654296875
EK202310162917,151.119140625
EK202310211786,119.6826171875
EK202310132171,156.748046875
EK202310153694,140.591796875
EK202310174960,157.3916015625
EK202310121096,126.2890625
EK202310222475,124.30859375
EK202310146254,148.1474609375
EK202310111466,130.6435546875
EK202310004385,165.20703125
EK202310108961,129.2490234375
EK202310203170,132.5654296875
EK202310161424,169.9521484375
EK202310206583,139.7138671875
EK202310138840,125.6767578125
EK202310221976,145.3583984375
EK202310143972,124.0654296875
EK202310175420,139.517578125
EK202310227655,147.3330078125
EK202310163389,143.05078125
EK202310239480,147.7216796875
EK202310146467,137.9716796875
EK202310162597,130.7587890625
EK202310194862,138.115234375
EK202310152448,146.3857421875
EK202310245431,151.560546875
EK202310206822,163.5732421875
EK202310166559,156.58984375
EK202310221701,155.265625
EK202310231403,123.869140625
EK202310156027,140.111328125
EK202310135956,141.4833984375
EK202310183176,126.2041015625
EK202310206055,166.470703125
EK202310167360,140.703125
EK202310142701,142.2724609375
EK202310156629,175.72265625
EK202310241352,150.337890625
EK202310123587,159.798828125
EK202310003639,159.8828125
EK202310158269,141.8583984375
EK202320007090,154.1171875
EK202310111707,138.4443359375
EK202310104096,144.1826171875
EK202310235404,120.9873046875
EK202310108783,142.60546875
EK202310116298,127.6669921875
EK202310156281,159.953125
EK202310164483,139.0654296875
EK202310108212,123.3701171875
EK202310233950,143.669921875
EK202310157041,132.1376953125
EK202310104522,132.4384765625
EK202310175972,152.0634765625
EK202310225965,136.5830078125
EK202310138403,134.3017578125
EK202310234452,134.24609375
EK202310104614,166.2802734375
EK202310117970,133.765625
EK202310128727,132.1474609375
EK202310190230,140.8623046875
EK202310201465,158.7041015625
EK202310197534,173.7822265625
EK202310171846,124.47265625
EK202310193751,144.5595703125
EK202310242967,136.0556640625
EK202310112852,166.5869140625
EK202310132804,137.67578125
EK202310127612,144.3291015625
EK202310136082,184.673828125
EK202310186665,154.14453125
EK202310156519,136.064453125
EK202310108430,150.0029296875
EK202310164930,145.8740234375
EK202310153971,153.8876953125
EK202310129412,133.13671875
EK202310124383,127.4873046875
EK202310215858,165.53125
EK202310104131,149.8681640625
EK202310185040,149.033203125
EK202310119251,145.4326171875
EK202310191724,156.5234375
EK202310149922,123.390625
EK202310176193,142.5263671875
EK202310204311,165.5654296875
EK202310248324,161.0126953125
EK202310120496,132.4052734375
EK202310233548,137.86328125
EK202310219178,142.1689453125
EK202310114723,140.6376953125
EK202310185832,160.2734375
EK202310106587,164.0966796875
EK202310239252,136.3984375
EK202310208710,138.599609375
EK202310244056,122.591796875
EK202310223702,126.4326171875
EK202310236969,125.306640625
EK202310196070,146.6728515625
EK202310227710,137.0791015625
