file,label
1b490196c.png,Shepherds Purse
85431c075.png,Loose Silky-bent
506347cfe.png,Charlock
7f46a71db.png,Sugar beet
668c1007c.png,Charlock
71f5323c5.png,Loose Silky-bent
1f3f44563.png,Maize
beebe5f4e.png,Scentless Mayweed
335273078026111927237395298180343749182.png,dog
780defa2e.png,Common Chickweed
313373334876967799755257414321148943035.png,horse
1934602282905564411137564382967371979.png,cat
df521c0c0.png,Loose Silky-bent
466bb6d3b.png,Maize
98d819587.png,Shepherds Purse
223e4af09.png,Cleavers
47658595428324394789821309099589089323.png,dog
abc331628.png,Common wheat
52961071606578367284788477208693528083.png,horse
272429491546730328900537269039444633472.png,cow
eef131644.png,Loose Silky-bent
b7a7f6390.png,Fat Hen
7d3045fc3.png,Sugar beet
1926e82fd.png,Loose Silky-bent
a9d2eab61.png,Loose Silky-bent
bffc08672.png,Scentless Mayweed
6dd095129.png,Common Chickweed
141288964762857107986328591477323779391.png,cow
6db684fff.png,Scentless Mayweed
cec5bf198.png,Scentless Mayweed
bea23d9f8.png,Scentless Mayweed
48d97c645.png,Small-flowered Cranesbill
31f3dd81f.png,Loose Silky-bent
5b63dcc21.png,Common Chickweed
b4c3df835.png,Common Chickweed
43531701325899816531266862885776649975.png,cat
3abb502fb.png,Loose Silky-bent
161196054664388557991196765680101972961.png,cat
54b3afd58.png,Cleavers
550a8b7e6.png,Small-flowered Cranesbill
8585f9718.png,Loose Silky-bent
e478c452c.png,Sugar beet
25a4c427e.png,Loose Silky-bent
39b740f7e.png,Loose Silky-bent
171720249867167170640390438502627974069.png,cow
0021e90e4.png,Small-flowered Cranesbill
9c32a797e.png,Common wheat
305211207627370030117762132248380875948.png,cat
171099943741832123027355289862837280713.png,cat
958bb9e96.png,Charlock
bd789d151.png,Common Chickweed
e19ad6ac9.png,Charlock
b7192c70f.png,Common wheat
138087630898562419769770784939807813111.png,cat
24d78df74.png,Common Chickweed
0437393b1.png,Fat Hen
f9b6bfb00.png,Cleavers
3fbd0fc6a.png,Common Chickweed
fa9f3a8f9.png,Cleavers
e88bf0db9.png,Small-flowered Cranesbill
219004722696276899835825372008014862319.png,horse
333263032901858711224355406604764742660.png,cat
25501884364557686458867068179923056940.png,dog
8a8d6c712.png,Cleavers
377283a21.png,Maize
140857853165198415574902366279087906293.png,cow
19618ad6a.png,Sugar beet
a85b48a95.png,Scentless Mayweed
892e9d6c6.png,Scentless Mayweed
e5297b675.png,Loose Silky-bent
261721312666638197177994776320456402234.png,cat
af45e222a.png,Scentless Mayweed
026716f9b.png,Loose Silky-bent
c60e91e07.png,Loose Silky-bent
003d61042.png,Fat Hen
168385630382723891591620139842599285701.png,cow
b9062c1c8.png,Sugar beet
866be78b0.png,Common Chickweed
7cabd68cc.png,Loose Silky-bent
fe9e87b78.png,Common Chickweed
c6c8d4ba0.png,Loose Silky-bent
3bbef3ecb.png,Scentless Mayweed
