ID,categoria
271,Otros
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Entretenimiento
686,Entretenimiento
238,Entretenimiento
802,Otros
678,Deportes
43,Otros
593,Entretenimiento
613,Educación
999,Entretenimiento
590,Entretenimiento
862,Película y Animación
74,Gente y Blogs
308,Gente y Blogs
504,Educación
583,Entretenimiento
749,Deportes
751,Película y Animación
814,Película y Animación
641,Entretenimiento
975,Entretenimiento
277,Película y Animación
293,Entretenimiento
398,Deportes
423,Película y Animación
895,Película y Animación
186,Deportes
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Deportes
936,Película y Animación
477,Película y Animación
433,Película y Animación
615,Deportes
229,Deportes
695,Entretenimiento
66,Película y Animación
917,Educación
322,Deportes
938,Otros
242,Entretenimiento
436,Deportes
934,Película y Animación
774,Entretenimiento
354,Entretenimiento
202,Otros
735,Entretenimiento
14,Entretenimiento
441,Deportes
951,Deportes
761,Película y Animación
333,Entretenimiento
644,Película y Animación
880,Película y Animación
153,Entretenimiento
378,Entretenimiento
431,Entretenimiento
413,Deportes
640,Entretenimiento
363,Película y Animación
726,Deportes
649,Película y Animación
604,Educación
713,Educación
41,Película y Animación
808,Educación
95,Entretenimiento
815,Entretenimiento
162,Deportes
447,Entretenimiento
347,Entretenimiento
320,Deportes
337,Educación
971,Educación
356,Deportes
796,Educación
113,Educación
221,Educación
602,Educación
702,Educación
514,Educación
821,Película y Animación
775,Película y Animación
724,Película y Animación
706,Película y Animación
687,Película y Animación
190,Película y Animación
367,Película y Animación
717,Película y Animación
49,Gente y Blogs
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Deportes
757,Entretenimiento
723,Entretenimiento
63,Otros
677,Película y Animación
207,Gente y Blogs
572,Entretenimiento
625,Entretenimiento
956,Entretenimiento
254,Deportes
68,Deportes
175,Película y Animación
407,Deportes
708,Película y Animación
210,Educación
222,Entretenimiento
316,Otros
490,Deportes
219,Otros
544,Deportes
816,Deportes
141,Educación
399,Deportes
298,Otros
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Película y Animación
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Gente y Blogs
169,Educación
741,Entretenimiento
145,Educación
118,Educación
191,Entretenimiento
915,Entretenimiento
295,Educación
629,Gente y Blogs
683,Entretenimiento
351,Educación
621,Entretenimiento
581,Entretenimiento
429,Película y Animación
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Película y Animación
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Educación
550,Educación
838,Educación
108,Educación
791,Entretenimiento
59,Entretenimiento
853,Deportes
335,Entretenimiento
232,Gente y Blogs
60,Gente y Blogs
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Entretenimiento
104,Entretenimiento
83,Entretenimiento
658,Película y Animación
864,Película y Animación
